artists,Track_Count,Avg_Pop,Max_Pop,Avg_Energy,Avg_Dance
Anthrax;Public Enemy,1,0.0,0,0.83,0.6
The Little 'uns,1,46.0,46,0.25,0.95
The Limit,1,32.0,32,0.75,0.67
Anthropological,1,59.0,59,0.04,0.17
Antillas;Fiora,1,48.0,48,0.69,0.58
The Lonely Island;Adam Levine;Kendrick Lamar,1,46.0,46,0.87,0.61
Anton Ishutin;Note U,1,0.0,0,0.5,0.65
Anton Powers;Redondo,1,61.0,61,0.99,0.65
The Lay-Backs,1,62.0,62,0.03,0.14
Anton Powers;Redondo;Endor,1,23.0,23,0.98,0.87
Antonio Caldara;Cecilia Bartoli;Les Musiciens du Louvre;Marc Minkowski,1,20.0,20,0.05,0.22
The Last Ten Seconds of Life,1,21.0,21,0.92,0.45
The Landers;Davi Singh,1,60.0,60,0.84,0.69
Anthony Shakir,1,5.0,5,0.95,0.93
The Lonely Island;Akon,1,63.0,63,0.81,0.62
Anthony Keyrouz;Romy Wave,1,49.0,49,0.47,0.66
The Loved Ones,1,36.0,36,0.94,0.52
Anthony Keyrouz;ZANA,1,60.0,60,0.82,0.66
Anthony Keyrouz;offrami;Jeannette,1,50.0,50,0.87,0.71
Anthony Lazaro;Sarah Kang,1,46.0,46,0.3,0.64
The Machine,1,46.0,46,0.94,0.45
Anthony Ramos,1,40.0,40,0.56,0.76
Anthony Rapp,1,29.0,29,0.37,0.56
"Anthony Rapp;You're a Good Man, Charlie Brown Ensemble (1999)",1,25.0,25,0.29,0.53
The Love Unlimited Orchestra,1,0.0,0,0.61,0.59
Anthony Russo,1,49.0,49,0.48,0.69
The Love Doctor,1,31.0,31,0.48,0.89
Anthony Rother,1,18.0,18,0.34,0.92
The Lonesome Trio,1,23.0,23,0.43,0.34
The Lonely Island;T-Pain,1,59.0,59,0.87,0.62
The Lonely Island;Rihanna,1,49.0,49,0.77,0.62
The Lonely Island;Michael Bolton,1,58.0,58,0.71,0.72
The Lonely Island;Justin Timberlake;Lady Gaga,1,48.0,48,0.75,0.74
Anime;Tha Suspect,1,17.0,17,0.9,0.48
Anime;Dave Revan,1,26.0,26,0.98,0.48
Anime;Broken Minds,1,47.0,47,0.95,0.34
Three Drives On A Vinyl,1,58.0,58,0.84,0.71
Thomas Jack;Nico & Vinz,1,50.0,50,0.7,0.63
Thomas Jack,1,56.0,56,0.81,0.57
Thomas Gold;R3SPAWN;David Shane,1,29.0,29,0.62,0.46
Thomas Gold;Kosling;Matthew Steeper,1,47.0,47,0.84,0.55
Andrew McMahon in the Wilderness,1,61.0,61,0.84,0.38
Thomas Gold;Flaremode;Krimsonn,1,42.0,42,0.85,0.6
Thomas Gold,1,40.0,40,0.71,0.66
Thomas Dolby,1,14.0,14,0.76,0.8
Thomas Day,1,68.0,68,0.44,0.53
Andrew Rayel,1,50.0,50,0.84,0.63
Thomas Anders;Giraffenaffen,1,31.0,31,0.72,0.54
Thomas & Friends,1,52.0,52,0.41,0.86
Thom Yorke,1,59.0,59,0.22,0.46
Thiyvya,1,41.0,41,0.64,0.5
Andrew Rayel;AIDYL,1,48.0,48,0.81,0.52
This Mortal Coil,1,22.0,22,0.61,0.64
Andrew Rayel;Sam Gray,1,57.0,57,0.89,0.71
Thomas Järvheden,1,36.0,36,0.89,0.78
Thomas Lizzara,1,29.0,29,0.74,0.75
Thomas Reid;Rxseboy;Powfu,1,58.0,58,0.61,0.8
Andrew Lloyd Webber;Todrick Hall,1,21.0,21,0.26,0.3
Thr13tn,1,40.0,40,0.3,0.58
Andrew Lloyd Webber;Patrick Wilson;Miranda Richardson,1,21.0,21,0.1,0.33
Thorsten Flinck,1,35.0,35,0.68,0.61
Andrew Lloyd Webber;Patrick Wilson;Simon Callow;Ciaran Hinds,1,29.0,29,0.04,0.36
Thornhill,1,51.0,51,0.98,0.48
Andrew Lloyd Webber;Patti LuPone,1,20.0,20,0.18,0.19
Andrew Lloyd Webber;Phantom Of The Opera Original London Cast,1,20.0,20,0.33,0.39
Andrew Lloyd Webber;Victor Mcguire,1,25.0,25,0.22,0.34
Andrew Lloyd Webber;“Starlight Express” Original Cast;Ray Shell,1,21.0,21,0.56,0.52
Thomas Sanders;Nicole Visco;Terrence Williams Jr;Jay Harper,1,21.0,21,0.7,0.62
Thomas Sanders;Leo Anderson;Jay Harper,1,20.0,20,0.53,0.64
Andrew Lloyd Webber;Victoria Hamilton-Barritt;Georgina Castle;Laura Baldwin,1,22.0,22,0.29,0.61
Thomas Rhett;Katy Perry,1,62.0,62,0.53,0.6
Thomas Rhett;Kane Brown;Ava Max,1,60.0,60,0.72,0.55
Thomas Rhett;HARDY,1,0.0,0,0.76,0.55
Thomas Rhett;Danielle Bradbery,1,3.0,3,0.7,0.48
ThirumaLi;Parimal Shais,1,20.0,20,0.63,0.76
ThirumaLi;Bindu Anirudhan,1,24.0,24,0.35,0.64
Andri Hart,1,23.0,23,0.03,0.58
Thiago Martins;Jorge Aragão,1,45.0,45,0.63,0.74
Thiaguinho;Gloria Groove,1,44.0,44,0.71,0.5
Thiaguinho;Abayomi,1,61.0,61,0.71,0.61
André Laplante,1,49.0,49,0.11,0.29
André Leono;Samuel Messias,1,27.0,27,0.46,0.46
André Renato,1,50.0,50,0.78,0.48
Thiago Martins;Xande De Pilares,1,44.0,44,0.69,0.57
Thiago Martins;Sorriso Maroto,1,44.0,44,0.72,0.57
Thiago Martins;Chrigor;Leandro Lehart,1,46.0,46,0.57,0.59
Thiaguinho;Péricles,1,46.0,46,0.66,0.62
Thiago Martins;Chrigor,1,41.0,41,0.57,0.61
André Rieu;Carmen Monarcha;Mirusia Louwerse;Suzan Erens;The Platin Tenors,1,45.0,45,0.39,0.29
Thiago Jhonathan (TJ);João Bosco e Gabriel,1,37.0,37,0.98,0.61
André Rieu;Johann Strauss Orchestra;Stéphanie Detry,1,53.0,53,0.39,0.22
Thiago Brava;Unha Pintada,1,50.0,50,0.74,0.83
Thiago Brava,1,49.0,49,0.3,0.47
Thiago Brado;Frei Gilson,1,46.0,46,0.3,0.5
Thiaguinho;Maria Rita,1,49.0,49,0.44,0.55
Thiaguinho;Sorriso Maroto,1,41.0,41,0.69,0.64
Thirty Seconds To Mars;Halsey,1,56.0,56,0.68,0.38
Androma,1,54.0,54,0.92,0.62
Andro,1,61.0,61,0.65,0.62
Thirteen;Zara Zahrina,1,32.0,32,0.95,0.38
Thirteen;Rudy Nugraha Putra;Raynard Rahardja;Jodi Melani;Ardiansyah Darmawangsa,1,41.0,41,0.95,0.5
Thirteen Senses,1,58.0,58,0.64,0.39
Thirteen,1,34.0,34,1.0,0.5
Third World,1,28.0,28,0.66,0.76
Third Person;Intara,1,43.0,43,0.89,0.76
Thin Lizzy;Derek Varnals,1,64.0,64,0.69,0.56
André Bauer,1,22.0,22,0.38,0.48
Andromida;Daedric,1,4.0,4,0.93,0.48
Thievery Corporation;Shana Halligan,1,46.0,46,0.49,0.38
Thievery Corporation;Notch,1,49.0,49,0.68,0.7
Thievery Corporation;Lou Lou Ghelickhani,1,49.0,49,0.62,0.69
Thievery Corporation;Lou Lou Gehlickhani,1,49.0,49,0.7,0.66
Andrzej Zaucha,1,34.0,34,0.55,0.54
Thievery Corporation;Emilíana Torrini,1,54.0,54,0.43,0.6
Three Days Grace;Lukas Rossi,1,59.0,59,0.8,0.47
Three Four Trio,1,62.0,62,0.14,0.43
The Smith Street Band;Tim Rogers;Laura Stevenson,1,28.0,28,0.46,0.56
Three Graces,1,20.0,20,0.42,0.39
Tim Green;Sébastien Léger,1,47.0,47,0.74,0.75
Tim Green,1,48.0,48,0.75,0.72
Andrew Lloyd Webber;David Zippel;Duncan James;Keedie,1,35.0,35,0.4,0.48
Tim Berg;Avicii,1,57.0,57,0.81,0.49
Tim Atlas,1,69.0,69,0.83,0.71
Tim Armstrong,1,30.0,30,0.83,0.75
Tilt,1,35.0,35,0.87,0.53
Till Kahn,1,58.0,58,0.16,0.14
Tikkle Me,1,69.0,69,0.88,0.55
Andrew Lloyd Webber;Elena Roger,1,27.0,27,0.75,0.67
Tiken Jah Fakoly;Nneka;Patrice,1,0.0,0,0.84,0.71
Andrew Lloyd Webber;Emmy Rossum;Patrick Wilson,1,56.0,56,0.1,0.35
Andrew Lloyd Webber;Georgina Castle;Carrie Hope Fletcher;Victoria Hamilton-Barritt,1,23.0,23,0.28,0.64
Andrew Lloyd Webber;Gerard Butler,1,55.0,55,0.07,0.17
Andrew Lloyd Webber;Gerard Butler;Jennifer Ellison;Emmy Rossum,1,29.0,29,0.04,0.29
Tiger Stripes,1,42.0,42,0.84,0.57
Tiger Movie,1,35.0,35,0.17,0.85
Andrew Lloyd Webber;Charlotte Jaconelli;Daniel Koek,1,20.0,20,0.18,0.25
Tim Love Lee,1,19.0,19,0.64,0.75
Andrew Lloyd Webber;Charles Hart;Mike Batt;Royal Philharmonic Orchestra;David Arnold,1,20.0,20,0.27,0.07
Andrew Lloyd Webber;Adam Lambert,1,26.0,26,0.57,0.36
Timbalada;Caetano Veloso,1,41.0,41,0.9,0.43
"Andrew Lloyd Webber;""The Phantom Of The Opera"" 1990 German Cast;Peter Hofmann",1,23.0,23,0.08,0.17
Timaya;Burna Boy,1,53.0,53,0.7,0.85
Timaya;BNXN fka Buju,1,65.0,65,0.66,0.74
Andrew Lloyd Webber;A.R. Rahman;Original London Cast of Bombay Dreams,1,14.0,14,0.18,0.16
Timal,1,33.0,33,0.65,0.6
Tim Wittig,1,18.0,18,0.59,0.84
Tim Vantol,1,28.0,28,0.4,0.38
Tim McGraw;Catherine Dunn,1,1.0,1,0.5,0.55
Andrew Lloyd Webber;Carrie Hope Fletcher;Gloria Onitiri,1,23.0,23,0.15,0.45
Andrew Lloyd Webber;Carrie Hope Fletcher;Ivano Turco,1,26.0,26,0.12,0.63
Andrew Lloyd Webber;Carrie Hope Fletcher;Ivano Turco;Georgina Castle;Laura Baldwin;Victoria Hamilton-Barritt,1,23.0,23,0.15,0.58
Andrew Lloyd Webber;Carrie Hope Fletcher;Victoria Hamilton-Barritt,1,21.0,21,0.06,0.47
Andrew Lloyd Webber;Carrie Hope Fletcher;Victoria Hamilton-Barritt;Georgina Castle;Laura Baldwin,1,23.0,23,0.19,0.68
Tim Minchin,1,24.0,24,0.25,0.4
Tim McGraw;Taylor Swift;Keith Urban,1,57.0,57,0.79,0.48
Andrew Lloyd Webber;Helen George,1,26.0,26,0.36,0.55
Andrew Lloyd Webber;Helen George;Adam Lambert;Georgina Castle;Ivano Turco;Victoria Hamilton-Barritt,1,21.0,21,0.54,0.52
Tiga;Tiësto,1,60.0,60,0.91,0.84
Thunderstorm,1,34.0,34,0.77,0.14
Thylacine,1,50.0,50,0.66,0.77
Thy Light,1,37.0,37,0.4,0.13
Andrew Lloyd Webber;Ivano Turco;Carrie Hope Fletcher,1,22.0,22,0.06,0.46
Andrew Lloyd Webber;Jane Gilchrist;Fergus Thirwell;Simon Gibson;Kirk Trevor;Slovak Radio Symphony Orchestra,1,23.0,23,0.07,0.2
Thunderstorms;Thunderstorm;Calming Sounds,1,33.0,33,0.45,0.2
"Thunderstorms;Lightning, Thunder and Rain Storm;Sounds of Thunder and Rain;Rainfall;Rain Sounds & Nature Sounds",1,33.0,33,0.65,0.15
Andrew Lloyd Webber;John Williams;Boston Pops Orchestra,1,22.0,22,0.1,0.1
Thunder Storm,1,32.0,32,1.0,0.16
Thyron;MC Activate,1,23.0,23,0.9,0.43
Thunder,1,60.0,60,0.49,0.85
Andrew Lloyd Webber;Kevin McNally;Jennifer Ellison;Miranda Richardson,1,23.0,23,0.11,0.44
Andrew Lloyd Webber;Laura Baldwin;Georgina Castle;Victoria Hamilton-Barritt,1,28.0,28,0.29,0.72
Thriving Ivory,1,56.0,56,0.8,0.44
Thrice,1,30.0,30,0.86,0.44
Andrew Lloyd Webber;Michael Crawford;Sarah Brightman;Steve Barton,1,21.0,21,0.26,0.22
Three Tall Pines,1,26.0,26,0.52,0.51
Thyron,1,21.0,21,0.86,0.51
Thyron;Unresolved,1,21.0,21,0.96,0.6
Tiga;Kölsch,1,45.0,45,0.8,0.88
Tierry;Wesley Safadão,1,50.0,50,0.89,0.8
Tiga;Hudson Mohawke,1,46.0,46,0.51,0.67
Tiga;Ben Sterling,1,47.0,47,0.73,0.8
Tiga;Audion;Solomun,1,30.0,30,0.66,0.74
Tig Notaro,1,21.0,21,0.77,0.39
Tifita,1,42.0,42,0.04,0.56
Tiffany Day,1,58.0,58,0.49,0.76
Tierry;ZeZé Di Camargo,1,48.0,48,0.79,0.61
Tierra Whack,1,0.0,0,0.55,0.86
Andrew Lloyd Webber;Il Divo;Lea Salonga;Simon Chalk,1,20.0,20,0.47,0.2
Tierra Santa,1,29.0,29,0.74,0.67
Andrew Lloyd Webber;Helen George;Ivano Turco,1,23.0,23,0.12,0.39
Andrew Lloyd Webber;Helen George;Laura Baldwin;Victoria Hamilton-Barritt;Ivano Turco;Georgina Castle;Carrie Hope Fletcher,1,24.0,24,0.29,0.49
Tiana Major9,1,0.0,0,0.29,0.46
Andrew Lloyd Webber;Helen George;Victoria Hamilton-Barritt;Adam Lambert,1,20.0,20,0.05,0.54
Tiago PZK;Ozuna,1,82.0,82,0.82,0.83
Andrew Lloyd Webber;Il Divo;Kristin Chenoweth;David Hernando,1,21.0,21,0.47,0.21
André Rieu;Tanja Derwahl,1,21.0,21,0.38,0.09
Theø;Plant;Fiks;Dari,1,38.0,38,0.96,0.57
André Sobota,1,37.0,37,0.75,0.63
André Sobota;Milos Ilic;Oliver Petkovski,1,19.0,19,0.83,0.62
Angelica Maria;Vicente Fernández,1,27.0,27,0.25,0.39
The Trashmen,1,54.0,54,0.97,0.59
The Trammps,1,60.0,60,0.61,0.76
The Tough Alliance,1,22.0,22,0.86,0.55
Angelina Cruz,1,38.0,38,0.41,0.59
Angelo Ferreri;Topa,1,0.0,0,0.72,0.74
The Tiny Boppers,1,28.0,28,0.16,0.37
The Ting Tings,1,58.0,58,0.9,0.76
The Thrillseekers;En-Motion,1,54.0,54,0.89,0.32
The Three Degrees,1,62.0,62,0.59,0.56
The Third Bardo,1,31.0,31,0.79,0.3
The Thin Bloods,1,25.0,25,0.61,0.26
Angelo Garcia,1,49.0,49,0.5,0.49
The Texas Tenors,1,19.0,19,0.36,0.09
Angeloh;S.O,1,21.0,21,0.49,0.7
The Tenors,1,23.0,23,0.33,0.4
Angelov,1,46.0,46,0.83,0.8
Angelica Maria;Mariachi Mexico,1,27.0,27,0.41,0.78
Angela Ro Ro;Frejat,1,40.0,40,0.61,0.44
The Troubled Three,1,23.0,23,0.78,0.61
Angela Lansbury;David Ogden Stiers;Jerry Orbach;Paige O'Hara;Robby Benson,1,54.0,54,0.26,0.58
The Verve Pipe,1,63.0,63,0.5,0.57
Angel D'Agostino;Ángel Vargas,1,19.0,19,0.22,0.83
Angel Parra Trio,1,33.0,33,0.71,0.61
Angel Parra Trio;Julian Peña,1,36.0,36,0.85,0.47
Angel Y Khriz,1,0.0,0,0.9,0.73
The Veer Union,1,49.0,49,0.64,0.45
The Vamps,1,77.0,77,0.82,0.53
Angela Lansbury;David Tomlinson,1,29.0,29,0.49,0.53
Angela Lansbury;Jerry Orbach;Chorus - Beauty And the Beast;Disney,1,59.0,59,0.42,0.52
The Upsetters,1,25.0,25,0.7,0.8
The Upbeats;Mara TK,1,20.0,20,0.91,0.45
The Upbeats;Joe Dukie,1,19.0,19,0.49,0.72
The Unthanks,1,26.0,26,0.29,0.37
Angela Lansbury;Jerry Orbach;Chorus - Beauty And the Beast,1,20.0,20,0.32,0.51
The Ultimate Seduction,1,18.0,18,0.88,0.76
The Uglyz,1,43.0,43,0.38,0.54
The Technicolors,1,66.0,66,0.6,0.63
Angelspit,1,24.0,24,0.97,0.67
The Swinging Blue Jeans,1,54.0,54,0.69,0.55
Anil Raveendran;Arya Dhayal;Sangeeth Vijayan,1,40.0,40,0.53,0.59
Anibal Troilo y su orquesta;Floreal Ruiz,1,17.0,17,0.5,0.49
Anika Moa,1,33.0,33,0.28,0.64
The Spirit,1,17.0,17,0.99,0.2
Anil Raveendran;Abhijith Ravikumar;Sidharth Sankar;Athira Janakan,1,34.0,34,0.57,0.56
The Spencer Lee Band,1,51.0,51,0.91,0.78
Anil Raveendran;Aromal Chekaver;Aparna Sathyan,1,26.0,26,0.19,0.56
The Spaceshits,1,28.0,28,0.99,0.46
The Sound Stylistics,1,21.0,21,0.9,0.69
The Steel Wheels,1,25.0,25,0.36,0.72
Anil Raveendran;Girish Narayanan,1,25.0,25,0.5,0.6
The Soul Snatchers,1,21.0,21,0.86,0.78
Anil Raveendran;Hari Mahesh G,1,30.0,30,0.06,0.67
The Sonics,1,56.0,56,0.95,0.51
Anila Mirela,1,47.0,47,0.13,0.83
Animadrop;CHENDA,1,35.0,35,0.87,0.42
Anime Piano Dreamers,1,40.0,40,0.01,0.38
Anibal Troilo y su orquesta;Edmundo Rivero,1,15.0,15,0.4,0.35
The Stolen Orchestra,1,37.0,37,0.16,0.23
The Swellers,1,33.0,33,0.98,0.34
The Stunned Guys;DJ Lancinhouse,1,19.0,19,0.91,0.67
Angerfist;Furyan,1,54.0,54,0.99,0.3
The Supervillains,1,31.0,31,0.55,0.75
Angerfist;Mad Dog,1,25.0,25,0.99,0.43
The Sugarman 3,1,18.0,18,0.56,0.62
The Sueves,1,25.0,25,0.9,0.34
The Subways,1,30.0,30,0.75,0.38
The Stunned Guys;DJ Paul;Wild Motherfuckers,1,17.0,17,0.99,0.6
Angerfist;Neophyte;Alee;MC Diesel,1,26.0,26,0.97,0.55
The Streets,1,27.0,27,0.56,0.82
Angrrsth,1,17.0,17,0.97,0.38
The Struts,1,71.0,71,0.91,0.54
The Strumbellas,1,63.0,63,0.66,0.56
The Strings Of The Inkas,1,22.0,22,0.39,0.52
The String Cheese Incident,1,22.0,22,0.62,0.4
The Streets;Hak Baker,1,28.0,28,0.76,0.78
The Streets;Donae'o;Greentea Peng,1,25.0,25,0.78,0.9
The Viceroys,1,60.0,60,0.64,0.87
The Viper,1,19.0,19,0.94,0.62
The Viper;Endymion,1,24.0,24,0.99,0.64
Andrés Calamaro;Carlos Vives,1,0.0,0,0.52,0.69
Them;Van Morrison,1,64.0,64,0.7,0.64
Thelonious Monk,1,54.0,54,0.32,0.54
Andrés,1,32.0,32,0.86,0.56
Thell Barrio,1,30.0,30,0.99,0.3
Thekidszn;Jordan Knows,1,48.0,48,0.67,0.65
Thekidszn;Bangers Only,1,50.0,50,0.78,0.71
Andrés Calamaro;Alejandro Sanz,1,0.0,0,0.48,0.74
Thegust Mc's,1,44.0,44,0.66,0.76
Theo Parrish;Ava,1,5.0,5,0.9,0.74
Thee Oh Sees,1,26.0,26,0.87,0.43
Andrés Calamaro;Juanes;Niño Josele,1,0.0,0,0.65,0.68
Andrés Calamaro;Julio Iglesias,1,0.0,0,0.46,0.78
Andrés Calamaro;Sebastian Yatra;Leiva;Ivan Ferreiro,1,2.0,2,0.38,0.73
TheWickerTwinz,1,8.0,8,0.66,0.82
TheHxliday,1,1.0,1,0.54,0.84
TheDoDo,1,41.0,41,0.73,0.87
André e Felipe;Rebeca Carvalho,1,46.0,46,0.65,0.38
Theo Parrish;Carl Craig,1,11.0,11,0.53,0.86
The dB's;Don Dixon,1,20.0,20,0.87,0.45
Theo Rubia;AC Music,1,44.0,44,0.61,0.46
Thermo,1,36.0,36,0.94,0.53
André Stade,1,30.0,30,0.84,0.6
There For Tomorrow,1,62.0,62,0.95,0.4
Therapie TAXI;Roméo Elvis,1,64.0,64,0.78,0.57
André Valadão;Brunão Morada,1,40.0,40,0.42,0.3
Theodis Ealey,1,31.0,31,0.58,0.8
Theo Rubia;Brunão Morada,1,39.0,39,0.67,0.42
André e Felipe,1,41.0,41,0.94,0.67
Theo Parrish;Dwele,1,9.0,9,0.39,0.8
Theo Parrish;Tony Allen;ESKA;Andrew Ashong,1,11.0,11,0.59,0.6
André e Felipe;Casa Worship;Julliany Souza;Léo Brandão,1,42.0,42,0.72,0.46
André e Felipe;Midian Lima,1,37.0,37,0.73,0.47
André e Felipe;Pr. Lucas,1,39.0,39,0.67,0.4
Theo Parrish;Lori;Silentjay;Simon Mavin;Perrin Moss;Paul Bender;Dego,1,16.0,16,0.84,0.79
Theo Parrish;Jerry The Cat,1,12.0,12,0.44,0.79
Theo Parrish;Jerrald James,1,10.0,10,0.67,0.77
The xx,1,73.0,73,0.78,0.62
The dB's,1,26.0,26,0.92,0.39
The Viper;Korsakoff,1,30.0,30,0.96,0.57
The Warriors,1,29.0,29,0.89,0.35
The West Coast Pop Art Experimental Band,1,52.0,52,0.1,0.46
The Weeknd;Gesaffelstein,1,90.0,90,0.74,0.32
Andy McKee,1,41.0,41,0.42,0.36
Andy Moor;Adam White;Whiteroom,1,47.0,47,0.94,0.47
Andy Moor;Adam White;Whiteroom;Marsh,1,43.0,43,0.9,0.58
The Waybacks,1,22.0,22,0.46,0.72
The Way Down Wanderers,1,23.0,23,0.59,0.67
The Warning,1,1.0,1,0.93,0.45
Andy Karl;Andrew Call;Raymond J. Lee;Groundhog Day The Musical Company;Tim Minchin,1,24.0,24,0.61,0.48
The Wanted,1,79.0,79,0.85,0.72
Andy Moor;Somna;Natalie Major,1,44.0,44,0.81,0.58
The Walker Brothers,1,0.0,0,0.5,0.38
The Wake,1,23.0,23,0.86,0.43
Andy Sandford,1,23.0,23,0.91,0.52
The Viper;Neophyte;Never Surrender,1,18.0,18,0.88,0.52
Angel Canales,1,27.0,27,0.87,0.64
The Whiffs,1,20.0,20,0.85,0.18
The White Stripes;The Glitch Mob,1,65.0,65,0.84,0.7
Andrés Calamaro;Vicentico,1,1.0,1,0.52,0.71
Andy El Unico,1,48.0,48,0.88,0.66
The Young Fresh Fellows,1,20.0,20,0.79,0.62
The YellowHeads;Rebel Boy;Sam WOLFE,1,30.0,30,0.72,0.69
Andy & Lucas;Abraham Mateo;Lérica,1,62.0,62,0.82,0.69
The Yellow Diary;Shilpa Rao,1,63.0,63,0.45,0.65
The Yellow Diary;AKASA,1,40.0,40,0.5,0.57
Andy Bar,1,25.0,25,0.97,0.7
Andy C;Fiora,1,54.0,54,0.96,0.42
Andy Griffith,1,44.0,44,0.34,0.62
The Whitlams,1,30.0,30,0.91,0.48
Andy Hui;Anita Mui,1,20.0,20,0.9,0.57
The Wolfgang Press,1,22.0,22,0.84,0.59
The Wiseguys;Sense Live;Tito-T,1,19.0,19,0.6,0.71
Andy Hui;Jacky Cheung;鄭中基,1,20.0,20,0.62,0.81
The Wiggles;Marlee Matlin,1,30.0,30,0.5,0.56
The Wiggles;Lou Diamond Phillips,1,31.0,31,0.56,0.68
The Widdler,1,22.0,22,0.76,0.62
Catz 'n Dogz;Megane Mercury;Solomun,1,35.0,35,0.6,0.8
Charlie Puth;Selena Gomez,1,82.0,82,0.56,0.73
Catz 'n Dogz;Tanika;Claude VonStroke,1,17.0,17,0.26,0.85
Dynamite MC,1,32.0,32,0.9,0.86
Jonas Blue;Why Don't We,1,76.0,76,0.75,0.62
Jonas Blue;Liam Payne;Lennon Stella,1,67.0,67,0.9,0.65
Jonas Blue;Julian Perretta,1,1.0,1,0.77,0.82
Jonas Blue;Jack & Jack,1,71.0,71,0.78,0.69
Dybbukk;Sabrina Gomes;Dybbukk Covers,1,69.0,69,0.49,0.76
Jonas Blue;Dakota,1,73.0,73,0.58,0.67
Jonas Blue;AWA,1,0.0,0,0.86,0.7
Jonah Baker;Sara Phillips,1,26.0,26,0.33,0.52
Jonah Baker;Celine,1,35.0,35,0.2,0.52
Dyewitness & Nighraver,1,21.0,21,0.95,0.45
Jon-Jon Geitel;Anni Kajos,1,18.0,18,0.4,0.38
Dying Wish,1,30.0,30,0.97,0.27
Dylan Rockoff,1,43.0,43,0.39,0.7
Dylan Sitts;HDBeenDope,1,48.0,48,0.41,0.87
Dymytry,1,39.0,39,0.92,0.54
Jon McLaughlin,1,52.0,52,0.66,0.43
Jon Liddell,1,44.0,44,0.18,0.74
Dwin;Kush Kush,1,63.0,63,0.91,0.73
Jonas Brothers,1,81.0,81,0.73,0.84
Dwin;Gaullin,1,56.0,56,0.86,0.88
Jonnie Snoilsky,1,26.0,26,0.05,0.57
Dvicio;Taburete,1,57.0,57,0.73,0.64
Jopin;Saulo,1,47.0,47,0.68,0.63
Joonas Saartamo,1,19.0,19,0.58,0.45
Jony Roy;Ciju Bless,1,33.0,33,0.72,0.81
Jonny L;Ed Solo;Dope Ammo,1,19.0,19,0.93,0.61
Jonny L,1,15.0,15,0.88,0.62
Jonny Greenwood,1,41.0,41,0.16,0.24
Joni Laakkonen,1,25.0,25,0.52,0.57
Jonathan Antoine,1,19.0,19,0.38,0.24
Jones & Stephenson,1,29.0,29,0.99,0.51
Jonathan Young,1,51.0,51,0.94,0.3
Dvwn;Yayyoung,1,60.0,60,0.6,0.67
Jonathan Groff;Original Broadway Cast of Hamilton,1,70.0,70,0.47,0.61
Jonathan Groff;Kristen Bell,1,56.0,56,0.5,0.72
Jonathan Groff;Alyse Alan Louis;Jenni Barber;Rema Webb;Bradley Dean;Quentin Earl Darrington;Josh Lamon,1,24.0,24,0.7,0.38
Dwight McCall,1,20.0,20,0.67,0.67
Jon Langston,1,0.0,0,0.88,0.55
Dynamite MC;Rookwood,1,36.0,36,0.58,0.84
D’MASIV;Rossa,1,30.0,30,0.44,0.57
Jon Hopkins;Kelly Lee Owens;Sultan + Shepard;Jerro,1,58.0,58,0.87,0.5
Dënver;( Me Llamo ) Sebastián,1,35.0,35,0.73,0.64
Dödsrit,1,17.0,17,0.88,0.12
Jok'air;Linema,1,33.0,33,0.57,0.7
Jok'air;Le Juiice,1,35.0,35,0.87,0.73
Dört X Dört,1,41.0,41,0.82,0.47
Joji,1,94.0,94,0.32,0.44
Dødheimsgard,1,17.0,17,0.98,0.12
Joi Barua;Suraj Jagan,1,61.0,61,0.6,0.78
Joi Barua;Neuman Pinto,1,42.0,42,0.18,0.3
Joi Barua,1,46.0,46,0.72,0.52
Düşbaz,1,41.0,41,0.82,0.57
Johnny Stimson;Jeff Bernat;Jesse Barrera,1,60.0,60,0.45,0.53
D’MASIV;Chrisye,1,31.0,31,0.46,0.44
D’MASIV;Feel Koplo,1,35.0,35,0.87,0.57
Johnny Ray Salsa Con Clase,1,27.0,27,0.72,0.55
Johnny Preston,1,26.0,26,0.42,0.76
"Johnny Pacheco;Pete ""El Conde"" Rodriguez",1,31.0,31,0.35,0.65
Joker;Allame,1,38.0,38,0.78,0.79
Joker;Defkhan;Kurşun,1,41.0,41,0.92,0.72
Dënver,1,37.0,37,0.76,0.71
Jomie,1,51.0,51,0.41,0.62
Dynazty,1,63.0,63,0.94,0.43
Jon Droulis,1,34.0,34,0.42,0.35
Jon Cutler;E-Man,1,30.0,30,0.84,0.9
Dynoro;Gigi D'Agostino,1,79.0,79,0.77,0.69
Dyro;Conro,1,55.0,55,0.59,0.69
Dzeko & Torres;Delaney Jane;Tiësto,1,60.0,60,0.93,0.59
Jon Boden;Sam Sweeney;Ben Coleman,1,52.0,52,0.53,0.52
Jome,1,63.0,63,0.47,0.46
Jolin Tsai;David Tao,1,47.0,47,0.56,0.75
Jomanda;Kenny Smoove,1,14.0,14,0.55,0.81
Dzp;Zanon,1,35.0,35,0.87,0.51
Jolyon Petch;Starley,1,53.0,53,0.91,0.68
Débora Gonçalves;Lebo M.,1,19.0,19,0.48,0.42
Jolin Tsai;Namie Amuro,1,46.0,46,0.87,0.62
Jolin Tsai;Jony J,1,45.0,45,0.6,0.59
Jolin Tsai;Jay Chou,1,45.0,45,0.81,0.61
Jor'dan Armstrong;DIXSON,1,18.0,18,0.6,0.48
Jor'dan Armstrong;Lowell Pye,1,20.0,20,0.68,0.31
